room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
16995870,1471,113857241,Entire home/apt,,Berlin,,Mitte,11,5.0,2,1.0,,94.0,,Awesome Apartment in The Heart of Mitte.,2017-07-25 00:56:42.109550,52.532213,13.396931,0101000020E610000083893F8A3ACB2A40C6C03A8E1F444A40
2098124,1471,10692949,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,114,4.5,4,1.0,,95.0,,Creative + Renovated + Cool Bergmannkiez,2017-07-25 00:56:42.107004,52.489857,13.376537,0101000020E6100000C9772975C9C02A40BC5B59A2B33E4A40
15966659,1471,20108304,Entire home/apt,,Berlin,,Pankow,3,5.0,2,1.0,,91.0,,Cosy apartment in the centre of P´Berg,2017-07-25 00:56:42.104437,52.543708,13.416372,0101000020E6100000B3F0F5B52ED52A406B49473998454A40
19910228,1471,40609700,Entire home/apt,,Berlin,,Neukölln,0,0.0,3,1.0,,91.0,,Cozy and cool flat in Neukölln,2017-07-25 00:56:42.102220,52.490836,13.430003,0101000020E6100000205D6C5A29DC2A4088D9CBB6D33E4A40
16106983,1471,5097927,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,9,5.0,4,0.0,,102.0,,ARTIST´S LAIR,2017-07-25 00:56:42.099307,52.50943,13.453326,0101000020E61000005EDA70581AE82A40F7CC920035414A40
615114,1471,3049961,Entire home/apt,,Berlin,,Mitte,121,5.0,2,1.0,,91.0,,Nice little apartment in the centre,2017-07-25 00:56:42.097245,52.518034,13.405757,0101000020E6100000033FAA61BFCF2A40A81B28F04E424A40
13757332,1471,80158312,Entire home/apt,,Berlin,,Pankow,29,3.5,4,1.0,,84.0,,Quiet Family Place with Park,2017-07-25 00:56:42.094450,52.550293,13.462305,0101000020E6100000F88DAF3DB3EC2A40DF1B430070464A40
12813463,1471,25387786,Entire home/apt,,Berlin,,Pankow,1,0.0,2,1.0,,96.0,,Prenzlauerberg easy living Berlin,2017-07-25 00:56:42.091705,52.531186,13.407952,0101000020E6100000F3ACA415DFD02A40E90B21E7FD434A40
16022808,1471,3146923,Entire home/apt,,Berlin,,Pankow,7,5.0,2,0.0,,102.0,,Artists loft with garden in the center of Berlin,2017-07-25 00:56:42.089610,52.533564,13.412257,0101000020E61000001A18795913D32A4056293DD34B444A40
7335727,1471,38429542,Entire home/apt,,Berlin,,Pankow,41,5.0,2,1.0,,96.0,,Relax in Prenzlauer Berg,2017-07-25 00:56:42.087467,52.538564,13.426376,0101000020E61000003D997FF44DDA2A40C76647AAEF444A40
