participant_id,denominator,arrangement,decisionTime,probability,iconicity
5,100,Ordered,856,70,house
5,100,Ordered,761,30,house
5,10,Ordered,1495,20,house
5,100,Ordered,813,100,house
5,10,Ordered,807,50,house
5,100,Ordered,773,40,house
5,100,Ordered,685,80,house
5,10,Ordered,887,70,house
5,100,Ordered,1089,20,house
5,100,Ordered,882,50,house
5,10,Ordered,895,40,house
5,100,Ordered,725,90,house
5,100,Ordered,662,60,house
5,10,Ordered,983,10,house
5,100,Ordered,1464,10,house
5,10,Ordered,828,60,house
5,10,Ordered,603,80,house
5,10,Ordered,688,30,house
5,100,Random,1461,80,square
5,100,Random,844,0,square
5,10,Random,897,70,square
5,100,Random,1944,30,square
5,10,Random,1616,20,square
5,100,Random,894,10,square
5,10,Random,744,60,square
5,10,Random,852,30,square
5,10,Random,896,40,square
5,100,Random,835,90,square
5,10,Random,719,90,square
5,100,Random,916,40,square
5,10,Random,683,80,square
5,100,Random,1408,20,square
5,100,Random,759,50,square
5,100,Random,739,60,square
5,10,Random,969,10,square
5,10,Random,625,50,square
5,100,Random,703,70,square
5,100,Random,1220,50,house
5,10,Random,1152,60,house
5,100,Random,860,70,house
5,10,Random,960,40,house
5,100,Random,681,60,house
5,100,Random,990,40,house
5,10,Random,763,80,house
5,10,Random,703,50,house
5,10,Random,848,10,house
5,100,Random,1036,20,house
5,10,Random,780,70,house
5,10,Random,888,30,house
5,100,Random,996,80,house
5,100,Random,1076,30,house
5,10,Random,959,20,house
5,10,Random,591,90,house
5,100,Random,1109,10,house
5,100,Random,669,90,house
5,100,Random,698,100,house
6,10,NA,4099,90,naturalFrequency
6,10,NA,3599,20,naturalFrequency
6,100,NA,2077,50,naturalFrequency
6,100,NA,3132,0,naturalFrequency
6,10,NA,1643,70,naturalFrequency
6,100,NA,2754,40,naturalFrequency
6,10,NA,6345,30,naturalFrequency
6,10,NA,1851,10,naturalFrequency
6,10,NA,944,60,naturalFrequency
6,100,NA,1288,20,naturalFrequency
6,100,NA,2613,70,naturalFrequency
6,100,NA,1154,30,naturalFrequency
6,100,NA,823,80,naturalFrequency
6,100,NA,796,90,naturalFrequency
6,100,NA,1568,60,naturalFrequency
6,10,NA,1918,40,naturalFrequency
6,10,NA,875,50,naturalFrequency
6,10,NA,864,80,naturalFrequency
6,100,NA,921,10,naturalFrequency
6,10,Ordered,3056,60,square
6,100,Ordered,1910,90,square
6,10,Ordered,1054,80,square
6,100,Ordered,1062,20,square
6,100,Ordered,884,60,square
6,100,Ordered,1008,10,square
6,10,Ordered,950,70,square
6,100,Ordered,861,80,square
6,10,Ordered,898,90,square
6,100,Ordered,1236,70,square
6,10,Ordered,1468,20,square
6,100,Ordered,5145,30,square
6,100,Ordered,1345,100,square
6,10,Ordered,3373,10,square
6,10,Ordered,1266,50,square
6,100,Ordered,1602,40,square
6,10,Ordered,2658,30,square
6,10,Ordered,735,40,square
6,100,Ordered,996,50,square
6,10,Ordered,1884,70,house
6,10,Ordered,1238,20,house
6,100,Ordered,1235,30,house
6,100,Ordered,1786,70,house
6,100,Ordered,7200,50,house
6,10,Ordered,1192,50,house
6,100,Ordered,877,20,house
6,100,Ordered,735,60,house
6,100,Ordered,833,40,house
6,10,Ordered,1188,10,house
6,10,Ordered,730,60,house
6,10,Ordered,844,40,house
6,100,Ordered,1049,90,house
6,10,Ordered,927,90,house
6,10,Ordered,927,30,house
6,100,Ordered,882,10,house
6,10,Ordered,956,100,house
6,10,Ordered,786,80,house
6,100,Ordered,1024,80,house
6,10,Random,2775,60,square
6,100,Random,1955,40,square
6,100,Random,828,80,square
6,100,Random,1420,30,square
6,10,Random,1701,20,square
6,10,Random,914,50,square
6,100,Random,963,70,square
6,10,Random,754,90,square
6,100,Random,847,100,square
6,10,Random,834,10,square
6,10,Random,1278,30,square
