denominator,participant_id,arrangement,iconicity,probability,decision,decisionTime
100,3,Ordered,house,90,evacuate,1062
100,3,Random,square,80,evacuate,6233
10,3,Random,square,70,evacuate,1577
10,3,Random,square,30,stay,2541
100,3,Random,square,70,evacuate,1610
10,3,Random,square,60,evacuate,1464
100,3,Random,square,40,stay,4088
100,3,Random,square,30,stay,2044
10,3,Random,square,20,stay,1329
100,3,Random,square,90,evacuate,1126
10,3,Random,square,90,evacuate,1097
100,3,Random,square,10,stay,1142
100,3,Random,square,20,stay,1033
10,3,Random,square,10,stay,1050
100,3,Random,square,0,stay,1050
10,3,Random,square,50,evacuate,1698
100,3,Random,square,50,evacuate,953
100,3,Random,square,60,evacuate,802
10,3,Random,square,80,evacuate,1580
10,3,Random,square,40,stay,1784
10,3,Random,house,70,evacuate,1875
10,3,Random,house,50,evacuate,1074
10,3,Random,house,40,evacuate,2367
100,3,Random,house,100,evacuate,1159
100,3,Random,house,20,stay,2098
10,3,Random,house,60,evacuate,1881
100,3,Random,house,40,evacuate,1032
100,3,Random,house,80,evacuate,856
100,3,Random,house,70,evacuate,767
100,3,Random,house,90,evacuate,711
100,3,Random,house,60,evacuate,861
10,3,Random,house,30,stay,1220
10,3,Random,house,20,stay,815
100,3,Random,house,10,stay,1197
10,3,Random,house,90,evacuate,1057
10,3,Random,house,80,evacuate,841
100,3,Random,house,30,stay,4124
10,3,Random,house,10,stay,1643
100,3,Random,house,50,evacuate,1095
100,4,NA,naturalFrequency,30,stay,4944
10,4,NA,naturalFrequency,30,stay,1736
100,4,NA,naturalFrequency,60,evacuate,1016
10,4,NA,naturalFrequency,60,evacuate,1200
10,4,NA,naturalFrequency,10,stay,800
100,4,NA,naturalFrequency,90,evacuate,792
100,4,NA,naturalFrequency,100,evacuate,656
100,4,NA,naturalFrequency,40,stay,2416
100,4,NA,naturalFrequency,50,stay,2369
10,4,NA,naturalFrequency,50,stay,967
100,4,NA,naturalFrequency,70,evacuate,776
10,4,NA,naturalFrequency,40,stay,848
10,4,NA,naturalFrequency,70,evacuate,792
10,4,NA,naturalFrequency,80,evacuate,776
100,4,NA,naturalFrequency,20,stay,776
100,4,NA,naturalFrequency,80,evacuate,1458
100,4,NA,naturalFrequency,10,stay,808
10,4,NA,naturalFrequency,20,stay,608
10,4,NA,naturalFrequency,90,evacuate,623
10,4,Ordered,square,60,evacuate,2648
100,4,Ordered,square,20,stay,2032
100,4,Ordered,square,40,stay,1584
100,4,Ordered,square,60,evacuate,744
100,4,Ordered,square,0,stay,864
10,4,Ordered,square,80,evacuate,1296
10,4,Ordered,square,70,evacuate,784
100,4,Ordered,square,90,evacuate,1106
10,4,Ordered,square,40,stay,1872
10,4,Ordered,square,10,stay,664
100,4,Ordered,square,30,stay,1080
100,4,Ordered,square,10,stay,672
10,4,Ordered,square,50,evacuate,1872
100,4,Ordered,square,50,evacuate,1000
10,4,Ordered,square,20,stay,808
100,4,Ordered,square,70,evacuate,784
10,4,Ordered,square,30,stay,752
100,4,Ordered,square,80,evacuate,1248
10,4,Ordered,square,90,evacuate,728
100,4,Ordered,house,30,stay,3023
10,4,Ordered,house,90,evacuate,1024
10,4,Ordered,house,80,evacuate,816
10,4,Ordered,house,60,evacuate,784
10,4,Ordered,house,30,stay,640
10,4,Ordered,house,100,evacuate,704
100,4,Ordered,house,90,evacuate,831
100,4,Ordered,house,20,stay,735
10,4,Ordered,house,70,evacuate,984
100,4,Ordered,house,50,evacuate,1143
10,4,Ordered,house,50,evacuate,1056
100,4,Ordered,house,80,evacuate,2727
10,4,Ordered,house,10,stay,856
100,4,Ordered,house,40,stay,855
10,4,Ordered,house,40,stay,736
10,4,Ordered,house,20,stay,680
100,4,Ordered,house,60,evacuate,823
100,4,Ordered,house,10,evacuate,679
100,4,Ordered,house,70,evacuate,1159
100,4,Random,square,100,evacuate,1007
100,4,Random,square,50,evacuate,3272
10,4,Random,square,70,evacuate,1296
10,4,Random,square,10,stay,664
100,4,Random,square,60,evacuate,3320
10,4,Random,square,30,stay,1736
100,4,Random,square,90,evacuate,824
10,4,Random,square,90,evacuate,864
